time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
5.046400593352006858e+00,1.163240810202550648e+02,7.599949503370746243e+03,2.772676022555359410e+01,1.573599609791582043e+04
5.080729898862131222e+00,1.162990747686921651e+02,7.599949327687061668e+03,2.772675958460994039e+01,1.576266368637258893e+04
5.115059205165806588e+00,1.162740685171292796e+02,7.599949151392155727e+03,2.772675894143637976e+01,1.578937716084195745e+04
5.149388512265833384e+00,1.162490622655663941e+02,7.599948974483900201e+03,2.772675829602514597e+01,1.581613658648953970e+04
5.183717820164962298e+00,1.162240560140034944e+02,7.599948796960162326e+03,2.772675764836845858e+01,1.584294202877851785e+04
5.218047128865954676e+00,1.161990497624406089e+02,7.599948618818801151e+03,2.772675699845850872e+01,1.586979355346564989e+04
5.252376438371639367e+00,1.161740435108777234e+02,7.599948440057667540e+03,2.772675634628745200e+01,1.589669122659722598e+04
5.286705748684775941e+00,1.161490372593148379e+02,7.599948260674605081e+03,2.772675569184742628e+01,1.592363511450530495e+04
5.321035059808213674e+00,1.161240310077519382e+02,7.599948080667450085e+03,2.772675503513053386e+01,1.595062528380398908e+04
5.355364371744752106e+00,1.160990247561890385e+02,7.599947900034030681e+03,2.772675437612884863e+01,1.597766180138576419e+04
5.389693684497199655e+00,1.160740185046261672e+02,7.599947718772169537e+03,2.772675371483443385e+01,1.600474473441808550e+04
5.424022998068435797e+00,1.160490122530632675e+02,7.599947536879679319e+03,2.772675305123930656e+01,1.603187415034004334e+04
5.458352312461288491e+00,1.160240060015003678e+02,7.599947354354366325e+03,2.772675238533546249e+01,1.605905011685897625e+04
5.492681627678596357e+00,1.159989997499374823e+02,7.599947171194027760e+03,2.772675171711486541e+01,1.608627270194740231e+04
5.527010943723268177e+00,1.159739934983745968e+02,7.599946987396456279e+03,2.772675104656946488e+01,1.611354197383996143e+04
5.561340260598142571e+00,1.159489872468117113e+02,7.599946802959432716e+03,2.772675037369116069e+01,1.614085800103035945e+04
5.595669578306147862e+00,1.159239809952488116e+02,7.599946617880734266e+03,2.772674969847184556e+01,1.616822085226867421e+04
5.629998896850161749e+00,1.158989747436859119e+02,7.599946432158128118e+03,2.772674902090337667e+01,1.619563059655835059e+04
5.664328216233073476e+00,1.158739684921230406e+02,7.599946245789372369e+03,2.772674834097756857e+01,1.622308730315360299e+04
5.698657536457841566e+00,1.158489622405601409e+02,7.599946058772221477e+03,2.772674765868623226e+01,1.625059104155687783e+04
5.732986857527375690e+00,1.158239559889972412e+02,7.599945871104418075e+03,2.772674697402113253e+01,1.627814188151616327e+04
5.767316179444594404e+00,1.157989497374343557e+02,7.599945682783699340e+03,2.772674628697401289e+01,1.630573989302261907e+04
5.801645502212486427e+00,1.157739434858714702e+02,7.599945493807792445e+03,2.772674559753658130e+01,1.633338514630818827e+04
5.835974825833991630e+00,1.157489372343085705e+02,7.599945304174420016e+03,2.772674490570053152e+01,1.636107771184325611e+04
5.870304150312060543e+00,1.157239309827456850e+02,7.599945113881291945e+03,2.772674421145750401e+01,1.638881766033436725e+04
5.904633475649712970e+00,1.156989247311827995e+02,7.599944922926115396e+03,2.772674351479913923e+01,1.641660506272225393e+04
5.938962801849898554e+00,1.156739184796199140e+02,7.599944731306585709e+03,2.772674281571702792e+01,1.644443999017945316e+04
5.973292128915659305e+00,1.156489122280570143e+02,7.599944539020391858e+03,2.772674211420273593e+01,1.647232251410838217e+04
