nodenumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
       195  2.541686594E-01  1.257437468E+00 -1.622280598E+00  1.257437468E+00  1.978084631E-02 
       196  7.466299534E-01  6.040228605E-01 -1.621849537E+00  6.040228605E-01  4.473199323E-02 
       197 -6.573498845E-01  3.851210773E-01 -1.621153831E+00  3.851210773E-01  5.111753345E-01 
       198  5.416771770E-01  9.758691788E-01 -1.618973017E+00  9.758691788E-01  2.300629579E-02 
       199 -7.467820048E-01  6.168509722E-01 -1.618965864E+00  6.168509722E-01  3.796260059E-02 
       200  7.273406982E-01  6.613361239E-01 -1.617994905E+00  6.613361239E-01  3.304783255E-02 
       201  3.515115082E-01  1.204033732E+00 -1.617047906E+00  1.204033732E+00  1.788288541E-02 
       202 -3.460406363E-01  1.209404826E+00 -1.616925478E+00  1.209404826E+00  3.552675620E-02 
       203 -7.786211371E-01  5.580000281E-01 -1.616823435E+00  5.580000281E-01  6.594014913E-02 
       204  7.786211371E-01  5.580000281E-01 -1.616823435E+00  5.580000281E-01  6.909725815E-02 
       205 -7.858996987E-01  4.856524467E-01 -1.614767194E+00  4.856524467E-01  1.541037410E-01 
       206  5.985491872E-01  9.085983038E-01 -1.614621758E+00  9.085983038E-01  2.619094215E-02 
       207 -7.229117155E-01  6.881883740E-01 -1.614001155E+00  6.881883740E-01  2.725939639E-02 
       208 -7.542690635E-01  4.374777973E-01 -1.613351583E+00  4.374777973E-01  2.830297053E-01 
       209 -9.136491455E-03  1.376126289E+00 -1.613065720E+00  1.376126289E+00  3.153865412E-02 
       210 -5.550332069E-01  3.434060514E-01 -1.612875342E+00  3.434060514E-01  7.778305411E-01 
       211  5.550332069E-01  3.434060514E-01 -1.612875342E+00  3.434060514E-01  7.751066685E-01 
       212 -6.806758046E-01  7.780392766E-01 -1.612103343E+00  7.780392766E-01  2.300809696E-02 
       213  4.407541752E-01  1.134136796E+00 -1.612043619E+00  1.134136796E+00  1.856790483E-02 
       214 -1.339751780E-01  1.364778161E+00 -1.610338330E+00  1.364778161E+00  3.509794176E-02 
       215  7.616517544E-01  4.383919537E-01 -1.610316038E+00  4.383919537E-01  2.833949327E-01 
       216  1.512647420E-01  1.362250566E+00 -1.609433889E+00  1.362250566E+00  2.437241003E-02 
       217 -3.862513602E-01  3.152177036E-01 -1.608852744E+00  3.152177036E-01  9.922145605E-01 
       218  3.862513602E-01  3.152177036E-01 -1.608852744E+00  3.152177036E-01  1.095869303E+00 
       219 -5.302510858E-01  1.044428468E+00 -1.606555343E+00  1.044428468E+00  2.612847462E-02 
       220  8.037964106E-01  4.878048897E-01 -1.606384873E+00  4.878048897E-01  1.572361588E-01 
       221 -6.474683881E-01  8.780202270E-01 -1.602793217E+00  8.780202270E-01  2.239390649E-02 
       222  2.754961327E-02  2.952035367E-01 -1.602787495E+00  2.952035367E-01  1.143788815E+00 
