cellnumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
       240 -6.958603263E-01  3.223051786E+00  7.910418510E-01  3.221154213E+00  2.278941650E+02 
       241 -1.127571583E+00  9.072591662E-01  1.333054423E+00  9.034130573E-01  3.995420837E+02 
       242 -8.413501382E-01  2.613120794E+00  9.634208679E-01  2.616436005E+00  2.931942444E+02 
       243 -1.110479712E+00  1.575823307E+00  1.198512673E+00  1.579095840E+00  4.940893860E+02 
       244 -1.280861259E+00  1.947497845E+00  1.121193051E+00  1.960404992E+00  2.700043335E+02 
       245 -9.893930554E-01  1.841786861E+00  1.149319291E+00  1.847463608E+00  4.417225647E+02 
       246 -7.431797981E-01  3.068251610E+00  8.347089291E-01  3.073512077E+00  2.367387085E+02 
       247 -7.991463542E-01  3.706850052E+00  3.058166504E-01  3.714031696E+00  2.014196777E+02 
       248 -9.068073630E-01  2.253623724E+00  1.056169748E+00  2.257793188E+00  3.403189087E+02 
       249 -6.241758466E-01  3.405497313E+00  7.480896115E-01  3.406538010E+00  2.179784546E+02 
       250 -9.143093228E-01  2.790863037E+00  8.980128169E-01  2.796566486E+00  2.520717926E+02 
       251 -9.498941302E-01  2.622434855E+00  9.467401505E-01  2.629242182E+00  2.734758911E+02 
       252 -9.210126400E-01  2.306894064E+00  1.037662625E+00  2.309832335E+00  3.360108948E+02 
       253 -5.580627918E-01  3.803838730E+00  5.484418869E-01  3.813926220E+00  2.594202576E+02 
       254 -8.490917087E-01  2.495561600E+00  9.981181026E-01  2.503513336E+00  3.122614441E+02 
       255 -7.987951636E-01  3.305161715E+00  7.232306600E-01  3.305180550E+00  2.454243469E+02 
       256 -8.671731353E-01  3.118670702E+00  7.872211337E-01  3.129106283E+00  2.273628082E+02 
       257 -9.395806789E-01  2.697597504E+00  9.249901772E-01  2.706491470E+00  2.641575623E+02 
       258 -7.346268296E-01  2.894309998E+00  9.039604068E-01  2.903466463E+00  2.568273621E+02 
       259 -8.374239802E-01  3.644154310E+00  3.248059452E-01  3.653170586E+00  2.086525574E+02 
       260 -7.187989354E-01  3.119695425E+00  8.230803609E-01  3.122369766E+00  2.341582031E+02 
       261 -8.171443939E-01  3.066285133E+00  8.174891472E-01  3.065542459E+00  2.262018585E+02 
       262 -7.375945449E-01  3.387237787E+00  7.046356797E-01  3.392546654E+00  2.301141052E+02 
       263 -8.537389636E-01  3.182339907E+00  7.634623647E-01  3.188406467E+00  2.247015076E+02 
       264 -1.099009395E+00  1.334198833E+00  1.249561667E+00  1.338649631E+00  4.443955383E+02 
       265 -1.170077443E+00  1.960511327E+00  1.117458463E+00  1.957939148E+00  3.244126587E+02 
       266 -1.325291753E+00  2.689935446E+00  5.268198848E-01  2.693040133E+00  2.463816376E+02 
       267 -6.608951092E-01  3.279984236E+00  7.848007679E-01  3.288675308E+00  2.222719421E+02 
